Model,Release Date,Lowest Storage (GB),Primary Camera (MP),Front Camera (MP),Battery Power (mAh),Processer,Core,Screen size(inches),Colour,Price (INR)
iPhone 3G,7/11/2008,8,2,0.3,1150,6582774949,1,3.5,9.81E+11,16517
iPhone 3GS,6/19/2009,8,3,0.3,1219,6.58E+28,1,3.5,1.19E+14,16517
iPhone 4,6/24/2010,8,5,0.3,1420,6552,1,3.5,9.81E+11,16517
iPhone 4S,10/14/2011,8,8,0.3,1432,6553,2,3.5,1.19E+14,16517
iPhone 5,9/21/2012,16,8,1.2,1440,6554,2,4,9.81E+11,16517
iPhone 5c,9/20/2013,8,8,1.2,1510,6554,2,4,1.19E+14,8217
iPhone 5s,9/20/2013,16,8,1.2,1560,6555,2,4,1.15E+17,24817
iPhone 6,9/19/2014,16,8,1.2,1810,6556,2,4.7,1.03E+11,24817
iPhone 6 Plus,9/19/2014,16,8,1.2,2915,6556,2,5.5,1.03E+11,33117
iPhone 6s Plus,9/25/2015,16,12,5,2750,6557,2,4.7,1.03E+11,62167
iPhone 6s,9/25/2015,16,8,1.2,1715,6557,2,5.5,1.03E+11,53867
iPhone 7,9/16/2016,16,12,5,1960,654948,3,4.7,9.81E+11,58017
iPhone 7 Plus,9/16/2016,32,12,7,2900,654948,3,5.5,114101100,66317
iPhone 8,9/22/2017,32,12,7,1821,654949,6,4.7,1.03E+11,82917
iPhone 8 Plus,9/22/2017,64,12,7,2675,654949,6,5.5,1.15E+17,82917
iPhone X,11/3/2017,64,12,7,2716,654949,6,5.8,1.15E+17,91217
iPhone XS,9/21/2018,64,12,7,2658,654950,6,6.5,1.03E+11,91217
iPhone XS Max,9/21/2018,64,12,7,3174,654949,6,6.5,1.03E+11,91217
iPhone XR,10/26/2018,64,12,7,2942,654950,6,6.1,1.15E+17,58017
iPhone 11 Pro Max,9/20/2019,64,12,12,3969,654951,6,6.5,1.03E+11,91217
iPhone 11,9/20/2019,64,12,7,3110,654951,6,6.1,1.19E+14,82917
iPhone 11 Pro,9/20/2019,64,12,12,3046,654951,6,5.8,1.15E+17,91217
iPhone 12,10/23/2020,128,12,12,2775,654952,6,6.1,9.81E+11,66317
iPhone 12 mini,10/23/2020,128,12,12,2227,654952,6,5.4,114101100,58017
iPhone 12 Pro,10/23/2020,128,12,12,2815,654952,6,6.1,1.03E+11,82917
iPhone 12 Pro Max,10/23/2020,128,12,12,3687,654952,6,6.7,1.15E+17,91217
iPhone 13 Pro Max,9/24/2021,128,12,12,4352,654953,6,6.7,1.03E+11,66317
iPhone 13,9/24/2021,128,12,12,3240,654953,6,6.1,114101100,91217
iPhone 13 mini,9/24/2021,128,12,12,2438,654953,6,5.4,114101100,66317
iPhone 13 Pro,9/24/2021,128,12,12,3095,654953,6,6.1,1.15E+17,74617
iPhone 14,3/18/2022,128,12,12,3279,654953,6,6.1,114101100,82917
iPhone 14 Plus,9/16/2022,128,12,12,4325,654953,6,6.7,114101100,91217
iPhone 14 Pro,9/16/2022,128,12,12,3200,654954,6,6.1,1.03E+11,91217
iPhone 14 Pro Max,9/16/2022,128,12,12,4323,654954,6,6.7,9.81E+11,82917
iPhone 15 Pro,9/22/2023,128,48,12,3200,654954,6,6.1,9.81E+11,107817
iPhone 15 Pro Max,9/22/2023,128,48,32,4422,654954,6,6.7,1.19E+14,116117
iPhone 15,9/22/2023,128,48,12,3359,654955,6,6.1,9.81E+11,82917
iPhone 15 Plus,9/22/2023,128,48,12,4383,654955,6,6.7,1.19E+14,91217
iPhone 16,9/18/2024,256,48,32,4561,654955,6,6.1,9.81E+11,124417
